,Open,Close*,Previous Day Close,S&P Open,Nikkei Close
1892,5786.7,5799.7,5803.3,1406.29,9423.3
1893,5819.1,5786.7,5799.7,1409.15,9388.94
1894,5748.1,5752.0,5791.0,1387.79,9222.52
1895,5737.7,5748.1,5752.0,1386.82,9142.64
1896,5605.6,5737.7,5748.1,1359.88,9153.2
1897,5677.8,5605.6,5737.7,1353.36,9024.16
1898,5722.0,5677.8,5605.6,1355.41,8829.72
1899,5786.3,5722.0,5677.8,1374.64,8664.73
1900,5767.3,5786.3,5722.0,1380.03,8661.05
1901,5769.7,5767.3,5786.3,1379.86,8676.44
1902,5776.1,5769.7,5767.3,1377.55,8757.6
1903,5791.6,5776.1,5769.7,1394.53,8837.15
1904,5884.9,5791.6,5776.1,1428.27,8972.89
1905,5839.1,5884.9,5791.6,1417.26,8975.15
1906,5868.6,5839.1,5884.9,1414.02,9007.44
1907,5861.9,5868.6,5839.1,1427.59,9051.22
1908,5782.7,5861.9,5868.6,1412.2,8946.87
1909,5849.9,5782.7,5861.9,1410.99,8928.29
1910,5805.1,5806.7,5795.1,1412.97,8933.06
1911,5804.8,5805.1,5806.7,1409.74,9055.2
1912,5797.9,5804.8,5805.1,1413.2,8954.3
1913,5882.9,5797.9,5804.8,1433.74,9014.25
1914,5896.2,5882.9,5797.9,1433.21,9010.71
1915,5917.1,5896.2,5882.9,1457.34,9002.68
1916,5910.9,5917.1,5896.2,1460.94,8982.86
1917,5870.5,5910.9,5917.1,1454.22,8806.55
1918,5805.6,5870.5,5910.9,1440.31,8701.31
1919,5793.3,5805.6,5870.5,1428.75,8577.93
1920,5829.8,5793.3,5805.6,1432.84,8534.12
1921,5776.7,5829.8,5793.3,1432.82,8546.78
1922,5810.3,5776.7,5829.8,1441.48,8596.23
1923,5841.7,5810.3,5776.7,1455.9,8769.59
1924,5827.8,5871.0,5841.7,1461.4,8863.3
1925,5825.8,5827.8,5871.0,1451.08,8824.59
1926,5809.5,5825.8,5827.8,1446.05,8746.87
1927,5820.5,5809.5,5825.8,1444.99,8786.05
1928,5742.1,5820.5,5809.5,1440.9,8796.51
1929,5779.4,5742.1,5820.5,1447.13,8870.16
1930,5768.1,5779.4,5742.1,1433.36,8949.87
1931,5859.7,5768.1,5779.4,1441.6,8906.7
1932,5838.8,5859.7,5768.1,1456.94,9091.54
1933,5852.6,5838.8,5859.7,1459.76,9069.29
